content_type,id,Published On,Updated On,Created On,Title,URL,SLUG,Status,TLDR Len,Content Len,Meta Desc Len,Meta Key Len,Cover Image Len,Icon Image Len
article,6,2021-03-22 13:10:09+00,2021-04-29 11:20:30.976201+00,2021-04-15 13:11:52.175088+00,Beginners Guide To Pentesting Azure,https://evilsaint.com/article/beginners-guide-pentesting-azure,beginners-guide-pentesting-azure,0,0,2658,0,47,100,71
article,8,2021-04-24 12:10:34+00,2021-05-04 05:22:16.957617+00,2021-04-24 12:22:36.424029+00,Beginner Guide To APT Commands,https://evilsaint.com/article/beginner-guide-apt-commands,beginner-guide-apt-commands,0,0,256,324,33,89,67
article,9,2021-04-24 16:38:38+00,2021-05-05 08:30:56.867875+00,2021-04-24 16:39:59.325606+00,The Many Hats Of A Pentester,https://evilsaint.com/article/many-hats-pentester,many-hats-pentester,0,0,99,0,0,74,55
tutorial,7,2021-04-24 23:20:59+00,2021-05-07 14:44:06.742467+00,2021-04-25 03:13:19.838208+00,Covert Voice In A Video To Text,https://evilsaint.com/tutorial/covert-voice-video-text,covert-voice-video-text,0,0,8853,0,0,88,61
tutorial,4,2021-04-19 14:23:00+00,2021-05-12 07:30:35.863685+00,2021-04-19 14:45:38.938989+00,Moving Around The Terminal Like A Boss: Using Screen For Linux,https://evilsaint.com/tutorial/using-screen-for-linux,using-screen-for-linux,0,0,68,0,0,94,63
article,11,2021-04-28 19:48:03+00,2021-05-14 10:48:49.102944+00,2021-04-28 19:48:55.768312+00,Penetrate. Report. Repeat,https://evilsaint.com/article/penetrate-report-repeat,penetrate-report-repeat,0,0,11,0,0,77,62
article,12,2021-05-07 00:08:04+00,2021-05-14 12:21:41.676039+00,2021-05-07 00:10:12.003621+00,Amazon Relational Database Service (RDS),https://evilsaint.com/article/amazon-relational-database-service-rds,amazon-relational-database-service-rds,0,0,11,0,0,105,76
tutorial,3,2021-04-15 15:34:35+00,2021-05-19 13:03:48.349739+00,2021-04-15 16:10:41.375883+00,Docker Django Application,https://evilsaint.com/tutorial/docker-django-application,docker-django-application,0,0,4089,0,60,92,68
post,2,2021-03-29 05:42:09+00,2021-06-07 09:12:20.267933+00,2021-04-14 22:20:48.689269+00,Appending Dates To Filenames in Cron Jobs,https://evilsaint.com/post/appending-dates-filenames-cron-jobs,appending-dates-filenames-cron-jobs,1,0,3714,464,100,100,70
post,3,2021-03-23 22:52:44+00,2021-06-07 09:14:17.315637+00,2021-04-14 22:54:58.066775+00,VMware Workstation cannot connect to the virtual machine,https://evilsaint.com/post/vmware-workstation-cannot-connect-virtual-machine,vmware-workstation-cannot-connect-virtual-machine,1,0,2816,447,50,100,86
